#TYPE System.Management.Automation.PSCustomObject
"連番","日付","出金","入金","残高","乗車駅名","乗車駅の路線名","乗車駅の社名","降車駅名","降車駅の路線名","降車駅の社名","処理種別","メモ"
"346","2022/02/24","170","","12","","","","","","","バス運賃",""
"345","2022/02/22","0","","182","","","","","","","バス運賃",""
"344","2022/02/21","170","","182","","","","","","","バス運賃",""
"343","2022/02/19","170","","352","","","","","","","バス運賃",""
"342","2022/02/18","170","","522","","","","","","","バス運賃",""
"341","2022/02/16","170","","692","","","ジェイアールバス関東","","","","バス運賃",""
"340","2022/02/15","170","","862","","","","","","","バス運賃",""
"339","2022/02/14","","1000","1032","","","","","","","チャージ",""
"338","2022/02/10","170","","32","","","","","","","バス運賃",""
"337","2022/02/09","170","","202","","","","","","","バス運賃",""
"336","2022/02/08","170","","372","","","","","","","バス運賃",""
"335","2022/02/07","170","","542","","","","","","","バス運賃",""
"334","2022/02/04","170","","712","","","","","","","バス運賃",""
"333","2022/02/03","170","","882","","","ジェイアールバス関東","","","","バス運賃",""
"332","2022/02/03","","1000","1052","","","ジェイアールバス関東","","","","チャージ",""
"331","2022/02/02","170","","52","","","","","","","バス運賃",""
"330","2022/02/01","170","","222","","","","","","","バス運賃",""
"329","2022/01/31","170","","392","","","","","","","バス運賃",""
"328","2022/01/28","170","","562","","","","","","","バス運賃",""
"327","2022/01/27","170","","732","","","","","","","バス運賃",""
"326","2022/01/26","170","","902","","","","","","","バス運賃",""
"325","2022/01/26","","1000","1072","","","","","","","チャージ",""
"324","2022/01/25","170","","72","","","","","","","バス運賃",""
"323","2022/01/24","170","","242","","","","","","","バス運賃",""
"322","2022/01/23","170","","412","","","","","","","バス運賃",""
"321","2022/01/21","170","","582","","","","","","","バス運賃",""
"320","2022/01/20","170","","752","","","","","","","バス運賃",""
"319","2022/01/17","170","","922","","","","","","","バス運賃",""
"318","2022/01/12","","1000","1092","","","","","","","チャージ",""
"317","2022/01/05","170","","92","","","","","","","バス運賃",""
"316","2021/12/26","170","","262","","","","","","","バス運賃",""
"315","2021/12/25","170","","432","","","","","","","バス運賃",""
"314","2021/12/24","170","","602","","","","","","","バス運賃",""
"313","2021/12/23","170","","772","","","","","","","バス運賃",""
"312","2021/12/22","170","","942","","","","","","","バス運賃",""
"311","2021/12/17","","1000","1112","","","","","","","チャージ",""
"310","2021/12/17","170","","112","","","","","","","バス運賃",""
"309","2021/12/14","170","","282","","","","","","","バス運賃",""
"308","2021/12/13","170","","452","","","","","","","バス運賃",""
"307","2021/12/09","170","","622","","","","","","","バス運賃",""
"306","2021/12/08","170","","792","","","","","","","バス運賃",""
"305","2021/12/07","170","","962","","","","","","","バス運賃",""
"304","2021/12/07","","1000","1132","","","","","","","チャージ",""
"303","2021/12/06","170","","132","","","","","","","バス運賃",""
"302","2021/12/03","170","","302","","","","","","","バス運賃",""
"301","2021/12/02","170","","472","","","","","","","バス運賃",""
"300","2021/12/01","170","","642","","","","","","","バス運賃",""
"299","2021/11/30","170","","812","","","","","","","バス運賃",""
"298","2021/11/29","170","","982","","","","","","","バス運賃",""
"297","2021/11/29","","1000","1152","","","","","","","チャージ",""
"296","2021/11/26","170","","152","","","","","","","バス運賃",""
"295","2021/11/25","170","","322","","","","","","","バス運賃",""
"294","2021/11/19","170","","492","","","","","","","バス運賃",""
"293","2021/11/18","170","","662","","","","","","","バス運賃",""
"292","2021/11/16","170","","832","","","","","","","バス運賃",""
"291","2021/11/15","170","","1002","","","","","","","バス運賃",""
"290","2021/11/15","","1000","1172","","","","","","","チャージ",""
"289","2021/11/05","170","","172","","","","","","","バス運賃",""
"288","2021/11/03","170","","342","","","","","","","バス運賃",""
"287","2021/11/01","170","","512","","","","","","","バス運賃",""
"286","2021/10/29","170","","682","","","","","","","バス運賃",""
"285","2021/10/28","170","","852","","","","","","","バス運賃",""
"284","2021/10/28","","1000","1022","","","","","","","チャージ",""
"283","2021/10/25","170","","22","","","","","","","バス運賃",""
"282","2021/10/23","170","","192","","","","","","","バス運賃",""
"281","2021/10/19","170","","362","","","","","","","バス運賃",""
"280","2021/10/16","170","","532","","","","","","","バス運賃",""
"279","2021/10/15","0","","702","","","","","","","バス運賃",""
"278","2021/10/14","170","","702","","","","","","","バス運賃",""
"277","2021/10/13","170","","872","","","","","","","バス運賃",""
"276","2021/10/08","","1000","1042","","","","","","","チャージ",""
"275","2021/10/08","170","","42","","","","","","","バス運賃",""
"274","2021/10/07","170","","212","","","","","","","バス運賃",""
"273","2021/10/06","170","","382","","","","","","","バス運賃",""
"272","2021/10/05","170","","552","","","","","","","バス運賃",""
"271","2021/10/04","170","","722","","","","","","","バス運賃",""
"270","2021/10/02","170","","892","","","","","","","バス運賃",""
"269","2021/10/02","","1000","1062","","","","","","","チャージ",""
"268","2021/09/29","170","","62","","","","","","","バス運賃",""
"267","2021/09/28","170","","232","","","","","","","バス運賃",""
"266","2021/09/27","170","","402","","","","","","","バス運賃",""
"265","2021/09/24","170","","572","","","","","","","バス運賃",""
"264","2021/09/23","170","","742","","","","","","","バス運賃",""
"263","2021/09/23","170","","912","","","","","","","バス運賃",""
"262","2021/09/23","","1000","1082","","","","","","","チャージ",""
"261","2021/09/22","170","","82","","","","","","","バス運賃",""
"260","2021/09/21","170","","252","","","","","","","バス運賃",""
"259","2021/09/17","170","","422","","","","","","","バス運賃",""
"258","2021/09/16","170","","592","","","","","","","バス運賃",""
"257","2021/09/15","170","","762","","","","","","","バス運賃",""
"256","2021/09/10","170","","932","","","","","","","バス運賃",""
"255","2021/09/09","170","","1102","","","","","","","バス運賃",""
"254","2021/09/09","","1000","1272","","","","","","","チャージ",""
"253","2021/09/07","170","","272","","","","","","","バス運賃",""
"252","2021/09/03","170","","442","","","","","","","バス運賃",""
"251","2021/09/01","170","","612","","","","","","","バス運賃",""
"250","2021/08/30","170","","782","","","","","","","バス運賃",""
"249","2021/08/30","170","","952","","","","","","","バス運賃",""
"248","2021/08/30","","1000","1122","","","","","","","チャージ",""
"247","2021/08/26","170","","122","","","","","","","バス運賃",""
"246","2021/08/25","170","","292","","","","","","","バス運賃",""
"245","2021/08/24","170","","462","","","","","","","バス運賃",""
"244","2021/08/24","170","","632","","","","","","","バス運賃",""
"243","2021/08/13","170","","802","","","","","","","バス運賃",""
"242","2021/08/12","170","","972","","","","","","","バス運賃",""
"241","2021/08/12","","1000","1142","","","","","","","チャージ",""
"240","2021/08/12","170","","142","","","","","","","バス運賃",""
"239","2021/08/11","170","","312","","","","","","","バス運賃",""
"238","2021/08/10","170","","482","","","","","","","バス運賃",""
